rank,segment_id,country,road_class,SpeedLimit,F85thPercentileSpeed,expected_speed,speed_residual
10895,38533,Thailand,secondary,90.0,76.25,85.01713799400837,-8.767137994008365
10896,41867,Thailand,secondary,80.0,69.5,78.26870006178298,-8.76870006178298
10897,35279,Thailand,primary,90.0,84.0,92.77245418089574,-8.772454180895735
10898,38696,Thailand,secondary,80.0,58.0,66.7741433655375,-8.774143365537498
10899,50411,Thailand,secondary,80.0,49.5,58.277962605710236,-8.777962605710236
10900,35689,Thailand,trunk,90.0,88.0,96.79427333301503,-8.794273333015028
10901,48279,Thailand,secondary,80.0,61.0,69.79934082978457,-8.799340829784569
10902,243,Thailand,trunk,80.0,82.8,91.59942254767512,-8.799422547675121
10903,30336,Thailand,primary,90.0,83.5,92.30156881232959,-8.801568812329592
10904,TR/11470,India,trunk,55.0,58.0,66.80579751714205,-8.805797517142054
10905,33752,Thailand,primary,80.0,60.0,68.80694044688083,-8.80694044688083
10906,TR/12419,India,trunk,55.0,63.0,71.82699280393014,-8.826992803930139
10907,17174,Thailand,primary,80.0,74.0,82.83071341415489,-8.830713414154886
10908,36024,Thailand,trunk,90.0,93.0,101.84448531713787,-8.844485317137867
10909,26075,Thailand,primary,90.0,76.41666666,85.26397563767259,-8.847308977672583
10910,SE/4468,India,secondary,55.0,39.0,47.8483192808654,-8.848319280865397
10911,35946,Thailand,secondary,90.0,48.0,56.850089059676435,-8.850089059676435
10912,TR/12140,India,trunk,55.0,73.5,82.35326010205894,-8.85326010205894
10913,54480,Thailand,secondary,90.0,61.0,69.85762240972714,-8.857622409727142
10914,55308,Thailand,secondary,80.0,72.0,80.86496594474217,-8.864965944742167
10915,16884,Thailand,primary,80.0,62.0,70.87767727391592,-8.877677273915921
10916,55822,Thailand,primary,80.0,78.0,86.8778835065482,-8.877883506548201
10917,46225,Thailand,secondary,80.0,61.0,69.88112943971859,-8.881129439718592
10918,35763,Thailand,trunk,90.0,92.0,100.88266595363659,-8.88266595363659
10919,34146,Thailand,primary,90.0,74.0,82.88375671269134,-8.883756712691337
10920,19959,Thailand,primary,80.0,61.0,69.88806724649972,-8.888067246499716
10921,15563,Thailand,primary,80.0,65.0,73.89007744980431,-8.89007744980431
10922,52989,Thailand,secondary,90.0,75.625,84.52151808283483,-8.896518082834831
10923,41506,Thailand,secondary,80.0,73.0,81.89756171601373,-8.897561716013726
10924,SE/4568,India,secondary,55.0,46.5,55.400735873910264,-8.900735873910264
10925,35786,Thailand,trunk,80.0,83.66666666,92.57192399778762,-8.905257337787617
10926,15397,Thailand,secondary,80.0,66.0,74.90589597335668,-8.905895973356678
10927,17487,Thailand,trunk,60.0,80.5,89.40680057500349,-8.906800575003487
10928,34502,Thailand,trunk,80.0,78.0,86.91027864966514,-8.910278649665145
10929,SE/6252,India,secondary,55.0,42.0,50.91237846138094,-8.91237846138094
10930,17542,Thailand,primary,80.0,77.0,85.91628760524101,-8.91628760524101
10931,12960,Thailand,trunk,80.0,82.0,90.9214435936508,-8.921443593650807
10932,PR/3687,India,primary,50.0,36.5,45.430079225322025,-8.930079225322025
10933,27282,Thailand,primary,80.0,72.0,80.9433327651043,-8.943332765104302
